seed	vcfsim_pi
2444	0.00546737
2445	0.0132916
2446	0.00246
2447	0.00708158
2448	0.00613421
2449	0.00986053
2450	0.00336632
2451	0.00772263
2452	0.00710316
2453	0.00757632
2454	0.00408105
2455	0.00521211
2456	0.00389211
2457	0.00570105
2458	0.00614053
2459	0.00586684
2460	0.00465
2461	0.00846316
2462	0.00838316
2463	0.0103158
2464	0.00425421
2465	0.00460158
2466	0.00232316
2467	0.00773947
2468	0.00944526
2469	0.00374
2470	0.00585632
2471	0.00676789
2472	0.00910316
2473	0.00460895
2474	0.00988105
2475	0.00695789
2476	0.00989211
2477	0.00516737
2478	0.00718632
2479	0.0158763
2480	0.00702474
2481	0.00471684
2482	0.00712526
2483	0.00681105
2484	0.0119458
2485	0.00974105
2486	0.00732053
2487	0.00789263
2488	0.00881316
2489	0.00826737
2490	0.0116884
2491	0.0137658
2492	0.00319368
2493	0.01378
2494	0.00786737
2495	0.00486263
2496	0.00636105
2497	0.00603421
2498	0.00545421
2499	0.0153284
2500	0.00879105
2501	0.0123242
2502	0.00401105
2503	0.00649421
2504	0.00798053
2505	0.0131258
2506	0.00481
2507	0.00641263
2508	0.00431474
2509	0.00405789
2510	0.00393105
2511	0.00378
2512	0.0091
2513	0.00695895
2514	0.00835684
2515	0.00534263
2516	0.00653053
2517	0.00997789
2518	0.00756053
2519	0.00695632
2520	0.00690211
2521	0.00918263
2522	0.00385684
2523	0.00524211
2524	0.00484211
2525	0.00935421
2526	0.00803474
2527	0.00209842
2528	0.00443158
2529	0.00763
2530	0.00449632
2531	0.00444316
2532	0.00983
2533	0.00632
2534	0.00396684
2535	0.00426474
2536	0.00822
2537	0.00781474
2538	0.00751211
2539	0.00555053
2540	0.00766632
2541	0.00824737
2542	0.00527842
2543	0.00532263
2544	0.00670263
2545	0.00732474
2546	0.00580842
2547	0.00550474
2548	0.00606632
2549	0.0143042
2550	0.00659421
2551	0.00692421
2552	0.00398
2553	0.00525263
2554	0.00657789
2555	0.00337579
2556	0.0207989
2557	0.00511105
2558	0.00368263
2559	0.0111679
2560	0.00658737
2561	0.00681579
2562	0.00743789
2563	0.00535053
2564	0.00522263
2565	0.00444526
2566	0.00808368
2567	0.00393368
2568	0.00566526
2569	0.00924158
2570	0.00330579
2571	0.00439105
2572	0.00618842
2573	0.00902263
2574	0.0026
2575	0.0104268
2576	0.00443105
2577	0.00306895
2578	0.00454316
2579	0.00770421
2580	0.00462474
